orderID,barcode,count,name,unitID,pricePer,retailPrice,tradePrice,categoryID
154243648991517662217,6901028300056,1,南京特醇,8,12,12,11,1
154243649043817324304,6921168550128,1,维他命水柠檬味500ml,2,5,5,0,11
154243649043817324304,6924254686299,1,欢乐家生榨椰子汁5L,2,13.5,13.5,0,11
154243648350611021331,6927018499357,2,鱼仙贝辣味0g,0,1,1,0,1
154243648350611021331,6911988005205,1,达利园熊字饼15g,7,3,3,2,1
154243648350611021331,6948930800014,1,周氏香油条198g辣熟食南特产典辣条0包,7,3,3,2.2,1
154243648350611021331,6942483999652,2,笋尖,4,4,4,0,1
154243648350611021331,6936158286437,1,脆皮香干90g,8,3.5,3.5,2.8,1
154243649606117323752,6902538007169,1,脉动椰子菠萝味600ml,2,4,4,0,11
154243649605620119993,99999999-1,1,无码商品,0,4,4,0,1
154243649874618159961,6901028024969,1,娇子包装,8,10,10,8.48,1
15424364998479493781,6901285991219,4,怡宝纯净水555ML,4,2,2,1,1
15424364998479493781,6921168509256,6,农夫山泉天然水550ML,4,2,2,1,1
154243650215017327667,6923644283582,1,蒙牛真果粒蓝莓口味250g2包,1,35,35,26,1
15424365069006223306,80177609,1,健达缤纷乐T40g,3,8,8,6,1
15424365069006223306,6902083901233,1,娃哈哈氧道饮用水 550ml,2,2,2,0,1
15424365069006223306,6920202888883,1,红牛维生素功能饮料250ml,4,6,6,0,1
154243650738115259242,6901028221504,1,贵烟者包装,8,28,28,22.5,1
154243650743124277575,6902538005141,1,乐百氏脉动水蜜桃味600ml,0,4,4,0,1
154243651164215709735,6941448900382,1,咸味花生米120g,8,3,3,0,10
154243651164215709735,6948960100078,2,百威啤酒500ml,6,7,7,5.56,1
154243651224612288146,6921555521946,1,大今野红油爆椒面,0,2.5,2.5,0,1
15424365176798676878,6921555581049,1,粉丝馆,0,4,4,3,1
15424365128527961529,6911988000163,1,好吃点高纤蔬菜饼110g,7,3.5,3.5,2.5,1
15424365128527961529,6934665087653,1,优益C活菌型乳酸菌饮品原味340ml,2,6,6,4.6,1
154243652140212472208,99999999-1,1,无码商品,0,57,57,0,1
154243652151123141352,6928203640028,1,摇摇雪糕棒糖,0,3.5,3.5,0,1
154243652151123141352,6920180239196,1,屈臣氏蒸馏水00ml,2,2.5,2.5,1.6,11
15424363252695849058,003,2,1元零食,4,1,1,0.75,1
15424363252695849058,6937221717582,1,贤哥台式烤香肠香辣24g,4,1.5,1.5,0.75,1
15424359248255842348,35419,1,热水壶,4,40,40,85,2
15424359248255842348,32555,1,毛巾,4,13,13,6,2
15424359248255842348,6914068012605,1,洁柔6包装720抽层百花香味抽纸,8,23,23,12,1
15424359248255842348,6940477426160,1,舒客牙刷,4,12,12,6,1
15424346834085841271,6901285991240,1,怡宝水350ML,4,1.5,1.5,1,1
15424345099315843243,6901028005029,1,双喜金五叶神,4,12,12,10.6,1
154243652514512283512,6901028192095,1,白沙天天向上细支包装,8,15,15,12.93,1
15424365252297733100,99999999-1,1,无码商品,0,39,39,0,1
154243653020318374152,99999999-1,1,无码商品,0,4,4,0,1
154243653020318374152,6920907808513,1,好丽友呀土豆番茄酱味40g,7,3.5,3.5,2.85,10
154243653020318374152,6935284499995,1,卫龙素食经典大面筋102g,7,3,3,2,10
15424365307676246250,6931273213559,2,和成天下食用槟榔（鸿运当头）,8,15,15,11,1
15424365300898559766,6931273201099,1,和成天下槟榔(蓝色）,0,18,18,15.6,1
15424364947122005666,99999999-1,1,无码商品,0,5,5,0,1
15424288455167008507,6901028001618,1,双喜经典1906包装,8,17,17,14.4,1
15424099939787001610,6901826817237,3,南孚电池5号粒,4,3,3,1.78,1
15424099939787001610,6901028191043,1,白沙品包装,8,9.5,9.5,8.2,1
15424095456067006693,6970643901160,1,丰月蛋黄饼牛奶味65g,8,2,2,1.4,1
15424095456067006693,6944649700126,1,百岁山饮用纯净水1L,2,3,3,2.2,1
15424093644607002434,6922255451427,1,百岁山天然矿泉水570ml,2,3,3,1.7,1
15424093644607002434,6901028006408,1,双喜祥和好日子包装,8,11,11,10.2,1
15424093644607002434,6952813400031,1,食用青果槟榔品口味王爵爷0g,8,15,15,12.5,1
15424093243867006943,6901285991219,2,怡宝饮用纯净水555毫升,2,2,2,1.17,1
154243654637013099320,6924743915091,1,乐事墨西哥鸡汁番茄味40g,8,3.5,3.5,0,1
154243654637013099320,6909409040898,1,上好佳田园薯片烤肉味0g,7,4,4,0,1
15424365384727967628,6901028191012,1,软白沙,8,6.5,6.5,3.82,1
15424365428084975883,6933125677816,1,枸杞槟榔湘潭铺子秘制,0,15,15,0,1
15424365428084975883,6926475203187,1,优乐美奶茶草莓味80g,15,3.5,3.5,0,1
15424365428084975883,6901028193498,1,430201硬盒芙蓉王香烟,2533,25,25,0,1
154243654654922085425,6901028193498,1,芙蓉王包装,8,25,25,21.83,21
154243654492419456596,99999999-1,1,无码商品,0,28,28,0,1
15424365460836061171,6921168593552,1,茶兀 西柚茉莉花茶500ml,2,5,5,3.8,1
15424365435976976256,6956416200067,2,美汁源果粒橙橙汁饮料450ml,2,3.5,3.5,0,1
15424365435976976256,6907992823034,1,伊利冰工厂百香果莓80g,13,2.5,2.5,0,1
15424365435976976256,6907992818689,1,三色心香雪糕,3,4,4,0,1
154243654624610962654,11,1,一元,4,1,1,0.75,1
154243654824615317520,6920708401555,1,迷尔型山楂,8,7,7,5.4,1
154243654824615317520,6936698645015,1,可可巧克力,3,5,5,0,10
154243654824615317520,6924743919242,1,乐事墨西哥鸡汁番茄味70g,8,6.5,6.5,0,1
154243654824615317520,6924160714093,1,无穷烤鸡小腿蜂蜜味60g,8,10,10,6.5,1
15424365522765188789,6971062710036,1,亿家馨泡鸭翅香辣28g,8,2,2,0,1
15424365522765188789,6959580800095,2,长香辣脖,8,2,2,0,1
15424365513198558863,6920548862011,2,旺仔QQ糖  香橙味,0,1,1,0.75,1
154243655271015812332,6935554630035,1,冠华南乳花生仁150g,8,5,5,4.1,1
